Output_title,Group_Title,Chair_s,Group_Type,DOI,Output_Status,Review_period_starts,Review_period_ends,Description,Primary_WG_Focus_Output_focus,Primary_Domain_Field_of_Expertise,Recommendation_Card,Adoption_Story_Title
Data Discovery Paradigms User Requirements and Recommendations for Data Repositories,Data Discovery Paradigms IG,"Mingfang Wu, Fotis Psomopoulos, Kathleen Gregory",Interest Group,DOI: http://doi.org/10.5334/dsj-2019-003,RDA Supporting Outputs,11/12/2017,15/01/2018,"



Data Discovery Paradigms IG




Group co-chairs: Siri Jodha Khalsa, Anita de Waard, Mingfang Wu, Fotis Psomopoulos




Supporting Output title:  Data Discovery Paradigms: User Requirements and Recommendations for Data Repositories",NA,NA,https://www.rd-alliance.org/sites/default/files/Data%20Discovery%20Paradigms-%20User%20Requirements%20and%20Recommendations%20for%20Data%20Repositories.pdf,NA
Eleven Quick Tips for Finding Research Data,Data Discovery Paradigms IG,"Mingfang Wu, Fotis Psomopoulos, Kathleen Gregory",Interest Group,DOI: 10.1371/journal.pcbi.1006038 ,RDA Supporting Outputs,11/12/2017,15/01/2018,"



Data Discovery Paradigms IG




Group co-chairs: Siri Jodha Khalsa, Anita de Waard, Mingfang Wu, Fotis Psomopoulos




Supporting Output title:  Eleven Quick Tips for Finding Research Data",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_ElevenQuickTips_single%2022.pdf,NA
Income Streams for Data Repositories,RDA/WDS Publishing Data Cost Recovery for Data Centres IG,"Anita de Waard, Ingrid Dillo, Simon Hodson",Historical Group,DOI: 10.5281/zenodo.46693,RDA Supporting Outputs,29/11/2017,5/1/2018,"Basic funding of data infrastructure may not keep pace with increasing costs. There is a need, therefore, to consider alternative cost recovery options and a diversification of revenue streams. In short: who will pay for public access to research data? The RDA/WDS Interest Group Publishing Data Cost Recovery for Data Centres aims to contribute to strategic thinking on cost recovery by conducting research to understand current and possible cost recovery strategies for data centres.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2023_IncomeStreams.pdf,Towards Sustainable Research Data Repositories
RDA Research Data Collections WG Recommendations,Research Data Collections WG,"Bridget Almas, Frederik Baumgardt, Tobias Weigel, Thomas Zastrow",Historical Group,DOI: 10.15497/RDA00022,RDA Endorsed Recommendations,13/11/2017,13/12/2017,"This recommendation provides a comprehensive model for actionable collections and a technical interface specification to enable client-server interaction. It also reports on first adoption and implementation efforts across communities and institutions and provides perspectives on the use of data types in connection with collection structures, highlighting pathways for possible future work.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Recommendation%20on%20Research%20Data%20Collections%20.pdf,NSD DMP – enabling long-term preservation and sharing of research data
Research Data Repository Interoperability Primer,Research Data Repository Interoperability WG,"Thomas Jejkal, David Wilcox",Historical Group,DOI: 10.15497/RDA00020,RDA Supporting Outputs,31/07/2017,NA,"This is the first deliverable of the RDRIWG, the Research Data Repository Interoperability Primer. It presents the targeted use cases as well as an overview of standards, technologies and tools this WG has expertise in and which are potentially a part of the proposed consensus. The main focus of the document is on machine operable interfaces, but it also contains a comprehensible collection of data and metadata formats and models focusing on the exchange of digital content in a generic way. Finally, a selection of custom tools is presented, which might not be adopted, but can support decisions through the experience gained while developing and using them. The present document will serve as a basis for discussions towards a consensus to be accepted by a majority of WG members and platform developers in order to achieve a broad adoption of the WGs' outcome and to make progress toward research data repository interoperability.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Research%20Data%20Repository%20Interoperability%20Primer.pdf,NA
The Life Cycle of Structural Biology Data,Structural Biology IG,"Lucia Banci, Chris Morris, Antonio Rosato",Historical Group,NA,Other Outputs (Not official),8/6/2017,NA,"


RDA Structural Biology Interest Group


Supporting Output Title: The Life Cycle of Structural Biology Data


Corresponding author: Chris Morris, STFC, Daresbury Laboratory, WA4 4AD

",NA,NA,NA,NA
Outcomes 2017 Jan-Mar,Research Data Provenance IG,"David Dubin, Nicholas Car",Historical Group,NA,Other Outputs (Not official),NA,NA,"
establish the Provenance Working Group
establish and maintain a list of provenance-related resources

listing of provenance conferences



",NA,NA,NA,NA
Transparency and Openness in RDA,Council Operations and Coordination subcommittee,Rainer Stotzka,Historical Group,NA,Other Outputs (Not official),NA,NA,"The Council Operations and Coordination Subcommittee (see https://www.rd-alliance.org/about-rda/governance/rda-council/rda-council...) has revised the document on Transparency and Openness in response to the community comment received on the previous version (which is attached to this page).  
Community comments on this new version are very welcome.",NA,NA,NA,NA
RDA & CODATA Legal Interoperability Of Research Data Principles And Implementation Guidelines,RDA/CODATA Legal Interoperability IG,"Robert Chen, Christoph Bruch, Simon Hodson, Gail Clement",Interest Group,DOI: 10.5281/zenodo.162241,RDA Supporting Outputs,NA,NA,"The CODATA-RDA Legal Interoperability Interest Group has stu-died the issues related to the intellectual property of data: the resulting outcome is a set of principles and practical implemen-tation guidelines.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Legal%20Interoperability%20of%20Research%20Data-%20Principles%20and%20Implementation%20Guidelines%20.pdf,Supporting the Slovenian Scientific Publishing Field
CODATA/RDA Summer School in Data Science and Cloud Computing in the Developing World WG Recommendations,RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World WG,"Andrew Harrison, Simon Hodson, Robert Quick, Hugh Shanahan",Working Group,NA,RDA Endorsed Recommendations,NA,NA,"The CODATA/RDA Summer School in Data Science and Cloud Computing in the Developing World WG provides a framework to run a series of Summer Schools in Data Science and data sharing in low and middle income countries (LMICs) with the goal of addressing the gap in research data science skills that stops researchers from reaping the benefits of the data revolution.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2015_CODATASummerSchool.pdf,When lions play leapfrog! Adopting the CODATA-RDA Data Science Summer School curriculum for introductory data science training in South Africa
Initial thoughts and recommendations on RDA as a Standardisation body,Council Strategy subcommittee,NA,Coordination Group,NA,Other Outputs (Not official),NA,NA,"RDA Council Strategy Subcommittee - 8 November 2016

Context
The RDA has a clear and transparent process for producing and endorsing its outputs as “Recommendations”[1].",NA,NA,NA,NA
RDA as a training/education body? A certification body? Is there a mission/future here?,Council Strategy subcommittee,NA,Coordination Group,NA,Other Outputs (Not official),8/11/2016,NA,RDA Council Strategy Subcommittee - 8 November 2016,NA,NA,NA,NA
Matrix of use cases and functional requirements for research data repository platforms,Repository Platforms for Research Data IG,"Robert Downs, LILi Zhang, Devan Ray Donaldson",Interest Group,DOI: 10.15497/rda00033,RDA Supporting Outputs,4/11/2016,4/12/2016,"The matrix describes the functional requirements identified for research data repository platforms. The functional requirements are based on eleven use cases that describe their requirements for digital repository platforms. The matrix provides a description for forty-four requirements and, for each one, provides a functional requirement score that is based on the use cases. Functional requirements of greater importance are identified with higher functional requirement scores. The functional requirement scores can be used to assess research data repository platforms and to prioritize functional requirements for development and adoption.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Matrix%20of%20use%20cases_single%2018.pdf,NA
23 Things Libraries for Research Data (Supporting Output),Libraries for Research Data IG,"Birgit Schmidt, Christopher Erdmann, Su Nee Goh, Naresh Kumar, Tim Dennis, Jennifer Gu, Susanna Nykyri",Interest Group,NA,RDA Supporting Outputs,NA,NA,"23 Things: Libraries for Research Data provides an overview of practical, free, online resources and tools that you can begin using today to incorporate research data management into your practice of librarianship from the Libraries for Research Data Interest Group of the Research Data Alliance.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%201_23Thing.pdf,23 Things Revisited Field Guides to Research Data Management
24 Things Libraries for Research Data (Supporting Output),Libraries for Research Data IG,"Birgit Schmidt, Christopher Erdmann, Su Nee Goh, Naresh Kumar, Tim Dennis, Jennifer Gu, Susanna Nykyri",Interest Group,NA,RDA Supporting Outputs,NA,NA,"23 Things: Libraries for Research Data provides an overview of practical, free, online resources and tools that you can begin using today to incorporate research data management into your practice of librarianship from the Libraries for Research Data Interest Group of the Research Data Alliance.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%201_23Thing.pdf,Data standards for Agriculture: INRA adoption of RDA Outputs
25 Things Libraries for Research Data (Supporting Output),Libraries for Research Data IG,"Birgit Schmidt, Christopher Erdmann, Su Nee Goh, Naresh Kumar, Tim Dennis, Jennifer Gu, Susanna Nykyri",Interest Group,NA,RDA Supporting Outputs,NA,NA,"23 Things: Libraries for Research Data provides an overview of practical, free, online resources and tools that you can begin using today to incorporate research data management into your practice of librarianship from the Libraries for Research Data Interest Group of the Research Data Alliance.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%201_23Thing.pdf,Improving data management services for researchers at the University of Tartu Library through adopting RDA recommendations
Building infrastructure through strategies of interconnection,Council Strategy subcommittee,NA,Coordination Group,NA,Other Outputs (Not official),27/08/2016,NA,RDA Council Strategy Subcommittee - (27 August 2016),NA,NA,NA,NA
Sustainable Business Models for Brokering Middleware to support Research Interoperability,Brokering Governance WG,"Stefano Nativi, Max Craglia, Jay Pearlman",Historical Group,NA,Recommendations with RDA Endorsement in Process,NA,NA,"


The Brokering Governance Recommendation discusses the strengths and weakness of different models in the context of long-term sustainment of brokering middleware. Examination of alternatives leads to a prioritization among models with the recognition that no single model by itself is likely to provide the desired sustainment. The analysis suggests that a hybridized model incorporating aspects of three different business models over the lifespan of the brokering middleware, i.e. federally funded data facility guardianship in the establishment stage replaced or supported by a Consortium model and/or Software-as-a- Service as the broker matures, will likely provide the strongest model for sustainment.



",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_SustainableBusinessModels_single%202.pdf,NA
Report prepared at Plenary 3,Structural Biology IG,"Lucia Banci, Chris Morris, Antonio Rosato",Historical Group,NA,Other Outputs (Not official),NA,NA,NA,NA,NA,NA,NA
Wheat Data Interoperability Recommendations,Wheat Data Interoperability WG,"Esther DZALE YEUMO, Richard Fulss, Rosemary Shrestha",Working Group,DOI: http://dx.doi.org/10.15497/RDA00018 ,RDA Endorsed Recommendations,NA,NA,"These recommendations have been prepared by members of the Wheat Data Interoperability Working Group (WG). The group is coordinated by members of the Wheat Initiative, a global initiative that aims to reinforce synergies between bread and durum wheat national and international research programmes to increase food security, nutritional value and safety while taking into account societal demands for sustainable and resilient agricultural production systems.
An earlier version of the endorsed guidelines is also available.
",NA,Agricultural Sciences,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Wheat_Data_single%207.pdf,A Model Of Data Integration Related To Wheat Genetic Resources And Resistance To Fusarium Head Blight
Wheat Data Interoperability Recommendations,Wheat Data Interoperability WG,"Esther DZALE YEUMO, Richard Fulss, Rosemary Shrestha",Working Group,DOI: http://dx.doi.org/10.15497/RDA00018 ,RDA Endorsed Recommendations,NA,NA,"These recommendations have been prepared by members of the Wheat Data Interoperability Working Group (WG). The group is coordinated by members of the Wheat Initiative, a global initiative that aims to reinforce synergies between bread and durum wheat national and international research programmes to increase food security, nutritional value and safety while taking into account societal demands for sustainable and resilient agricultural production systems.
An earlier version of the endorsed guidelines is also available.
",NA,Agricultural Sciences,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Wheat_Data_single%207.pdf,Data standards for Agriculture: INRA adoption of RDA Outputs
Metadata Standards Directory Working Group Recommendations,Metadata Standards Directory WG,"Jane Greenberg, Keith Jeffery, Rebecca Koskela, Alex Ball",Historical Group,NA,Recommendations with RDA Endorsement in Process,NA,NA,"The Metadata Standards Directory Working Group set out to develop a directory that would enable researchers, and those who support them, to discover metadata standards that would be appropriate for documenting their research data, regardless of their academic discipline. It happened that a directory with similar aims had recently been developed independently by the UK Digital Curation Centre (DCC), so the group collaborated with the DCC on developing the directory further to achieve additional goals regarding coverage, ease of maintenance, and sustainability.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Metadata%20Standards%20Directory.pdf,The Ethnic and Migrant Minorities' (EMMs') Survey Registry: A tool to help make EMM survey data FAIR 
Metadata Standards Directory Working Group Recommendations,Metadata Standards Directory WG,"Jane Greenberg, Keith Jeffery, Rebecca Koskela, Alex Ball",Historical Group,NA,Recommendations with RDA Endorsement in Process,NA,NA,"The Metadata Standards Directory Working Group set out to develop a directory that would enable researchers, and those who support them, to discover metadata standards that would be appropriate for documenting their research data, regardless of their academic discipline. It happened that a directory with similar aims had recently been developed independently by the UK Digital Curation Centre (DCC), so the group collaborated with the DCC on developing the directory further to achieve additional goals regarding coverage, ease of maintenance, and sustainability.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Metadata%20Standards%20Directory.pdf,Improving the Copernicus Climate Data Store metadata scheme with the RDA metadata standards repository 
Data Description Registry Interoperability Model,Data Description Registry Interoperability (DDRI) WG,"Amir Aryani, Adrian Burton",Historical Group,NA,RDA Endorsed Recommendations,NA,NA,"Data Description Registry Interoperability WG is working on a series of bi-lateral information exchange projects and an open, extensible, and flexible cross-platform research data discovery software solutions. Research Data Switchboard is a collaborative project by the members of the DDRI WG. This project leverages DataCite DOI, ORCID and other persistent identifiers, and uses simple but effective research graph technology to link datasets.
",NA,NA,https://www.rd-alliance.org/sites/default/files/DDRI%20Model.pdf,NA
RDAWDS Publishing Data Workflows WG Recommendations,RDA/WDS Publishing Data Workflows WG,"Suenje Dallmeier-Tiessen, Fiona Murphy, Amy Nurnberger, Varsha Khodiyar",Working Group,DOI: https://doi.org/10.15497/RDA00004,RDA Endorsed Recommendations,NA,NA,"Workflows that enable persistence, quality control and access are all crucial to enhance the possibilities for greater discoverability as well as efficient and reliable reuse of research data. Such workflows for data publishing are at the core of this analysis and working group.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_RDA-WDS_single%204.pdf,"Big data, big responsibility: recording a project's data lineage for publishing reproducible results"
RDAWDS Publishing Data Workflows WG Recommendations,RDA/WDS Publishing Data Workflows WG,"Suenje Dallmeier-Tiessen, Fiona Murphy, Amy Nurnberger, Varsha Khodiyar",Working Group,DOI: https://doi.org/10.15497/RDA00004,RDA Endorsed Recommendations,NA,NA,"Workflows that enable persistence, quality control and access are all crucial to enhance the possibilities for greater discoverability as well as efficient and reliable reuse of research data. Such workflows for data publishing are at the core of this analysis and working group.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_RDA-WDS_single%204.pdf,Learning to Share - The Road to a Hungarian National Data Publishing Policy
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",RDA/WDS Publishing Data Services WG,"Hylke Koers, Adrian Burton",Historical Group,DOI: http://dx.doi.org/10.15497/RDA00002,RDA Endorsed Recommendations,NA,NA,"The ICSU-WDS &amp; RDA Publishing Data Services group proposes an approach to sharing information about the links between the literature and research data. A set of hubs will collect literature­data (as well as data­data) links from their natural communities using minor extensions to existing local procedures and, in some cases, inference. The hubs agree on an interoperability framework with a common information model and open exchange methods, optimised for exchanging information among the hubs. The hubs will serve as an enabling global information infrastructure for the development of (third party) services.
The Recommendation is also published at the following DOI: http://dx.doi.org/10.15497/RDA00002
Relevant to this recommendation is also the release of the Scholix framework by ICSU-WDS and RDA, details can be found here: https://rd-alliance.org/rda-and-icsu-wds-announce-scholix-framework-link...
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_An%20open%20universal%20literature-data%20cross-linking%20service_single%205.pdf,NA
Repository Audit and Certification DSA-WDS Partnership WG Recommendations,CoreTrustSeal Maintenance WG,"Lisa de Leeuw, Jonathan Crabtree",Working Group,https://doi.org/10.17026/dans-22n-gk35,RDA Endorsed Recommendations,NA,NA,"The Catalogue of Common Procedures was developed by the DSA–WDS Partnership Working Group on Repository Audit and Certification, a Working Group (WG) of the Research Data Alliance (RDA) . The goal of the effort was to create a set of harmonized Common Procedures for certification of repositories at the basic level, drawing from the procedures already put in place by the Data Seal of Approval (DSA) and the ICSU World Data System (ICSU­-WDS). These procedures are intended to support the implementation of the Catalogue of Common Requirements developed by the WG to harmonize the certification criteria previously established by the DSA and ICSU-­WDS.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Repository%20Audit%20and%20Certification_single%206_0.pdf,Data standards for Agriculture: INRA adoption of RDA Outputs
Repository Audit and Certification DSA-WDS Partnership WG Recommendations,CoreTrustSeal Maintenance WG,"Lisa de Leeuw, Jonathan Crabtree",Working Group,https://doi.org/10.17026/dans-22n-gk35,RDA Endorsed Recommendations,NA,NA,"The Catalogue of Common Procedures was developed by the DSA–WDS Partnership Working Group on Repository Audit and Certification, a Working Group (WG) of the Research Data Alliance (RDA) . The goal of the effort was to create a set of harmonized Common Procedures for certification of repositories at the basic level, drawing from the procedures already put in place by the Data Seal of Approval (DSA) and the ICSU World Data System (ICSU­-WDS). These procedures are intended to support the implementation of the Catalogue of Common Requirements developed by the WG to harmonize the certification criteria previously established by the DSA and ICSU-­WDS.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Repository%20Audit%20and%20Certification_single%206_0.pdf,"Enabling FAIR Data in the Earth, Space, and Environmental Sciences"
Repository Audit and Certification DSA-WDS Partnership WG Recommendations,CoreTrustSeal Maintenance WG,"Lisa de Leeuw, Jonathan Crabtree",Working Group,https://doi.org/10.17026/dans-22n-gk35,RDA Endorsed Recommendations,NA,NA,"The Catalogue of Common Procedures was developed by the DSA–WDS Partnership Working Group on Repository Audit and Certification, a Working Group (WG) of the Research Data Alliance (RDA) . The goal of the effort was to create a set of harmonized Common Procedures for certification of repositories at the basic level, drawing from the procedures already put in place by the Data Seal of Approval (DSA) and the ICSU World Data System (ICSU­-WDS). These procedures are intended to support the implementation of the Catalogue of Common Requirements developed by the WG to harmonize the certification criteria previously established by the DSA and ICSU-­WDS.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Repository%20Audit%20and%20Certification_single%206_0.pdf,Learning to Share - The Road to a Hungarian National Data Publishing Policy
Repository Audit and Certification DSA-WDS Partnership WG Recommendations,CoreTrustSeal Maintenance WG,"Lisa de Leeuw, Jonathan Crabtree",Working Group,https://doi.org/10.17026/dans-22n-gk35,RDA Endorsed Recommendations,NA,NA,"The Catalogue of Common Procedures was developed by the DSA–WDS Partnership Working Group on Repository Audit and Certification, a Working Group (WG) of the Research Data Alliance (RDA) . The goal of the effort was to create a set of harmonized Common Procedures for certification of repositories at the basic level, drawing from the procedures already put in place by the Data Seal of Approval (DSA) and the ICSU World Data System (ICSU­-WDS). These procedures are intended to support the implementation of the Catalogue of Common Requirements developed by the WG to harmonize the certification criteria previously established by the DSA and ICSU-­WDS.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Repository%20Audit%20and%20Certification_single%206_0.pdf,The RDA CoreTrustSeal adoption story across domains and regions
Repository Audit and Certification DSA-WDS Partnership WG Recommendations,CoreTrustSeal Maintenance WG,"Lisa de Leeuw, Jonathan Crabtree",Working Group,https://doi.org/10.17026/dans-22n-gk35,RDA Endorsed Recommendations,NA,NA,"The Catalogue of Common Procedures was developed by the DSA–WDS Partnership Working Group on Repository Audit and Certification, a Working Group (WG) of the Research Data Alliance (RDA) . The goal of the effort was to create a set of harmonized Common Procedures for certification of repositories at the basic level, drawing from the procedures already put in place by the Data Seal of Approval (DSA) and the ICSU World Data System (ICSU­-WDS). These procedures are intended to support the implementation of the Catalogue of Common Requirements developed by the WG to harmonize the certification criteria previously established by the DSA and ICSU-­WDS.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Repository%20Audit%20and%20Certification_single%206_0.pdf,Supporting the Slovenian Scientific Publishing Field
Scalable Dynamic Data Citation Methodology,Data Citation WG,"Andreas Rauber, Mark Parsons",Working Group,NA,RDA Endorsed Recommendations,NA,NA,"The aim of the Dynamic Data Citation Working Group was to devise a simple, scalable mechanism that allows the precise, machine-actionable identification of arbitrary sub selections of data at a given point in time irrespective of any subsequent addition, deletion or modification. The approach recommended by the Working Group relies on dynamic resolution of a data citation via a time-stamped query also known as dynamic data citation. It is based on time-stamped and versioned source data and time-stamped queries utilized for retrieving the desired dataset at the specific time in the appropriate version.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2010_DataCitation.pdf,Dynamic Data Citation for frequently modifying High Resolution Climate Data 
Scalable Dynamic Data Citation Methodology,Data Citation WG,"Andreas Rauber, Mark Parsons",Working Group,NA,RDA Endorsed Recommendations,NA,NA,"The aim of the Dynamic Data Citation Working Group was to devise a simple, scalable mechanism that allows the precise, machine-actionable identification of arbitrary sub selections of data at a given point in time irrespective of any subsequent addition, deletion or modification. The approach recommended by the Working Group relies on dynamic resolution of a data citation via a time-stamped query also known as dynamic data citation. It is based on time-stamped and versioned source data and time-stamped queries utilized for retrieving the desired dataset at the specific time in the appropriate version.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2010_DataCitation.pdf,Supporting the Slovenian Scientific Publishing Field
Scalable Dynamic Data Citation Methodology,Data Citation WG,"Andreas Rauber, Mark Parsons",Working Group,NA,RDA Endorsed Recommendations,NA,NA,"The aim of the Dynamic Data Citation Working Group was to devise a simple, scalable mechanism that allows the precise, machine-actionable identification of arbitrary sub selections of data at a given point in time irrespective of any subsequent addition, deletion or modification. The approach recommended by the Working Group relies on dynamic resolution of a data citation via a time-stamped query also known as dynamic data citation. It is based on time-stamped and versioned source data and time-stamped queries utilized for retrieving the desired dataset at the specific time in the appropriate version.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2010_DataCitation.pdf,Improving Citation of evolving data in distributed asynchronous infrastructures 
Scalable Dynamic Data Citation Methodology,Data Citation WG,"Andreas Rauber, Mark Parsons",Working Group,NA,RDA Endorsed Recommendations,NA,NA,"The aim of the Dynamic Data Citation Working Group was to devise a simple, scalable mechanism that allows the precise, machine-actionable identification of arbitrary sub selections of data at a given point in time irrespective of any subsequent addition, deletion or modification. The approach recommended by the Working Group relies on dynamic resolution of a data citation via a time-stamped query also known as dynamic data citation. It is based on time-stamped and versioned source data and time-stamped queries utilized for retrieving the desired dataset at the specific time in the appropriate version.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2010_DataCitation.pdf,Implementing Data Citation on the Earth Observation Data Centre for Water Resource Monitoring (EODC)
Scalable Dynamic Data Citation Methodology,Data Citation WG,"Andreas Rauber, Mark Parsons",Working Group,NA,RDA Endorsed Recommendations,NA,NA,"The aim of the Dynamic Data Citation Working Group was to devise a simple, scalable mechanism that allows the precise, machine-actionable identification of arbitrary sub selections of data at a given point in time irrespective of any subsequent addition, deletion or modification. The approach recommended by the Working Group relies on dynamic resolution of a data citation via a time-stamped query also known as dynamic data citation. It is based on time-stamped and versioned source data and time-stamped queries utilized for retrieving the desired dataset at the specific time in the appropriate version.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2010_DataCitation.pdf,"CCCA Dynamic Data Citation, an Extension on Earth Observation Data"
Machine Actionable Policy Templates - Practical Policy WG Recommendations,Practical Policy WG,"Rainer Stotzka, Reagan Moore",Historical Group,DOI: https://doi.org/10.15497/83E1B3F9-7E17-484A-A466-B3E5775121CC,RDA Endorsed Recommendations,NA,NA,"Computer actionable policies are used to enforce management, automate administrative tasks, validate assessment criteria, and automate scientific analyses. The benefits of using policies include minimization of the amount of labor needed to manage a collection, the ability to publish to the users the rules that are being used, and the ability to automate process management.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_MachineActionable_single%2011.pdf,NA
PID Information Types (PIT) WG Recommendations,PID Information Types WG,"Tobias Weigel, Tim DiLauro",Historical Group,DOI: doi.org/10.15497/FDAA09D5-5ED0-403D-B97A-2675E1EBE786,RDA Endorsed Recommendations,NA,NA,"The working group on Persistent Identifier Information Types of the Research Data Alliance concerned itself with the essential types of information associated with persistent identifiers. The working group developed a conceptual model for structuring typed information, an application programming interface for access to typed information and a demonstrator implementing the interface. The final deliverable consists of a summarizing report, the interface specification and a set of exemplary types.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_PID%20Information%20Types_single%2012.pdf,NA
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,Data Foundation and Terminology WG,"Gary Berg-Cross, Peter Wittenburg, Raphael Ritz",Historical Group,DOI: doi.org/10.15497/06825049-8CA4-40BD-BCAF-DE9F0EA2FADF,RDA Endorsed Recommendations,NA,NA,"Based on 21 data models presented by experts coming from different disciplines and 120 interviews and interactions with different scientists and scientific departments, the DFT group has produced 5 inter-related reports and defined a number of simple definitions for digital data in a registered domain based on an agreed conceptualization.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_BasicVocabulary_single%2014.pdf,NA
Data Type Model and Registry - Data Type Registries (DTR) WG Recommendations,Data Type Registries WG & #2,"Larry Lannom, Tobias Weigel",Historical Group,DOI: doi.org/10.15497/A5BCD108-ECC4-41BE-91A7-20112FF77458,RDA Endorsed Recommendations,NA,NA,"Often researchers receive a file from colleagues, follow a link, or otherwise encounter data created elsewhere that they would like to make use of in their own work. However, they may not know how to work with it, interpret it or visualise its content, being unfamiliar with the specifics of the structure and/or meaning of the data, ranging from individual observations up to complex data sets. Frequently, researchers need to stop here since it requires too much work to look for explanations, tools, and where tools exist, install them.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Data_Type_Model_Registry_single%2013.pdf,SEAGrid Science Gateway: Adoption of the PID Kernel Information and Data Type Registry Utilizing the Enhanced Robust Persistent Identification of Data (ERPID) Testbed toward FAIR Scientific Workflows
